Frequency (Hz)	80	90	100	110	120	130	140
0.00000e+00	 0.00282082	 0.00951163	 0.0152239	 0.147327	 0.0793199	 0.0472679	 0.00489423
9.76562e+00	 0.0028289	 0.00944512	 0.0156246	 0.147393	 0.0794284	 0.0473441	 0.004847
1.95312e+01	 0.00285638	 0.00923912	 0.0167823	 0.147601	 0.0797428	 0.0475623	 0.00472018
2.92969e+01	 0.00290873	 0.00888569	 0.0186054	 0.147965	 0.0802499	 0.0479101	 0.00453408
3.90625e+01	 0.00298401	 0.00839234	 0.0210156	 0.148479	 0.0809586	 0.0483957	 0.00428891
4.88281e+01	 0.00307218	 0.00778399	 0.0239595	 0.149129	 0.0818893	 0.04904	 0.00398726
5.85938e+01	 0.0031663	 0.00709924	 0.0273957	 0.149903	 0.0830529	 0.0498568	 0.00367298
6.83594e+01	 0.00326482	 0.00639905	 0.0312917	 0.150801	 0.0844493	 0.0508502	 0.00344729
7.81250e+01	 0.00336295	 0.00579598	 0.0356298	 0.151817	 0.0860812	 0.0520277	 0.00346163
8.78906e+01	 0.00345335	 0.00548832	 0.0404059	 0.152941	 0.0879545	 0.0534022	 0.0038772
9.76562e+01	 0.00353292	 0.00572872	 0.0456134	 0.154165	 0.0900606	 0.0549761	 0.00476785
1.07422e+02	 0.00360261	 0.00667355	 0.0512347	 0.155495	 0.0923746	 0.0567351	 0.00607835
1.17188e+02	 0.00366426	 0.00829444	 0.057253	 0.156939	 0.0948778	 0.0586671	 0.00771483
1.26953e+02	 0.00371801	 0.0104791	 0.0636629	 0.158495	 0.0975577	 0.0607683	 0.00961879
1.36719e+02	 0.00376354	 0.0131347	 0.0704575	 0.160163	 0.100386	 0.0630217	 0.0117509
1.46484e+02	 0.00380862	 0.0162104	 0.0776152	 0.161958	 0.10332	 0.0653906	 0.0140593
1.56250e+02	 0.00386961	 0.0196815	 0.0851072	 0.163908	 0.106325	 0.0678395	 0.0164883
1.66016e+02	 0.00395848	 0.0235247	 0.0929152	 0.16603	 0.109389	 0.0703517	 0.0190025
1.75781e+02	 0.00408243	 0.0277032	 0.101037	 0.168324	 0.112503	 0.0729188	 0.0215856
1.85547e+02	 0.00425854	 0.0321725	 0.10947	 0.170797	 0.115646	 0.075518	 0.0242141
1.95312e+02	 0.00451611	 0.0368957	 0.118195	 0.17347	 0.118794	 0.0781183	 0.0268498
2.05078e+02	 0.00488667	 0.0418398	 0.127189	 0.176368	 0.121955	 0.0807115	 0.0294701
2.14844e+02	 0.00539524	 0.046953	 0.136448	 0.179487	 0.125147	 0.0833106	 0.032082
2.24609e+02	 0.00606108	 0.0521635	 0.145978	 0.182817	 0.128374	 0.0859163	 0.0346903
2.34375e+02	 0.00690958	 0.0574051	 0.155761	 0.186372	 0.131632	 0.0885157	 0.0372811
2.44141e+02	 0.00796658	 0.0626303	 0.165761	 0.19017	 0.134946	 0.0911169	 0.0398525
2.53906e+02	 0.00923634	 0.0677948	 0.17595	 0.194206	 0.138358	 0.0937573	 0.0424371
2.63672e+02	 0.010711	 0.0728369	 0.186319	 0.198449	 0.141894	 0.0964681	 0.0450771
2.73438e+02	 0.0123964	 0.0776827	 0.196855	 0.202886	 0.14555	 0.0992486	 0.0477841
