Frequency (Hz)	800
0.00000e+00	 82658
1.22070e+01	 83408.6
2.44141e+01	 83087.5
3.66211e+01	 83085.5
4.88281e+01	 83798.9
6.10352e+01	 83301.7
7.32422e+01	 84132.3
8.54492e+01	 84219.4
9.76562e+01	 84366.3
1.09863e+02	 85321.4
1.22070e+02	 85161.3
1.34277e+02	 86153.2
1.46484e+02	 86519.2
1.58691e+02	 87030.5
1.70898e+02	 88181.4
1.83105e+02	 88266.3
1.95312e+02	 89771.4
2.07520e+02	 90185.8
2.19727e+02	 91116.5
2.31934e+02	 92915.1
2.44141e+02	 92778.9
2.56348e+02	 95181.7
2.68555e+02	 95876
2.80762e+02	 96853.5
2.92969e+02	 100052
3.05176e+02	 99322.3
3.17383e+02	 102627
3.29590e+02	 104783
3.41797e+02	 104555
3.54004e+02	 110384
3.66211e+02	 109334
3.78418e+02	 112324
3.90625e+02	 118212
4.02832e+02	 116375
4.15039e+02	 123500
4.27246e+02	 126121
4.39453e+02	 125396
4.51660e+02	 138432
4.63867e+02	 135457
4.76074e+02	 143219
4.88281e+02	 150319
5.00488e+02	 147477
5.12695e+02	 169305
5.24902e+02	 172866
5.37109e+02	 158662
5.49316e+02	 207298
5.61523e+02	 194505
5.73730e+02	 181594
5.85937e+02	 296264
5.98145e+02	 263801
6.10352e+02	 103091
6.22559e+02	 495709
6.34766e+02	 778276
6.46973e+02	 490902
6.59180e+02	 532850
6.71387e+02	 1.21342e+06
6.83594e+02	 1.3407e+06
6.95801e+02	 1.27977e+06
7.08008e+02	 3.59333e+06
7.20215e+02	 5.58015e+06
7.32422e+02	 4.94359e+06
7.44629e+02	 2.34993e+06
7.56836e+02	 1.35592e+06
7.69043e+02	 1.60392e+06
7.81250e+02	 1.55481e+06
7.93457e+02	 1.2484e+06
8.05664e+02	 2.15434e+06
8.17871e+02	 2.50283e+06
8.30078e+02	 964311
8.42285e+02	 883291
8.54492e+02	 1.17488e+06
8.66699e+02	 318841
8.78906e+02	 680731
8.91113e+02	 342204
9.03320e+02	 243709
9.15527e+02	 264123
9.27734e+02	 132064
9.39941e+02	 207418
9.52148e+02	 114177
9.64355e+02	 180079
9.76562e+02	 102222
9.88770e+02	 140503
1.00098e+03	 114919
1.01318e+03	 109970
1.02539e+03	 105450
1.03760e+03	 103686
1.04980e+03	 89876.8
1.06201e+03	 96230.1
1.07422e+03	 85328.3
1.08643e+03	 82951.8
1.09863e+03	 82500.8
1.11084e+03	 74930.3
1.12305e+03	 75237.5
1.13525e+03	 71487.2
1.14746e+03	 68201.7
1.15967e+03	 67110.5
1.17187e+03	 64066.7
1.18408e+03	 61857.9
1.19629e+03	 60684.8
1.20850e+03	 57754.5
1.22070e+03	 56837.7
1.23291e+03	 54716.9
1.24512e+03	 53200.7
1.25732e+03	 51822.1
1.26953e+03	 50237.5
1.28174e+03	 48942.8
1.29395e+03	 47690.9
1.30615e+03	 46325.9
1.31836e+03	 45306.9
1.33057e+03	 44029.9
1.34277e+03	 43064.5
1.35498e+03	 41968.7
1.36719e+03	 41001.3
1.37939e+03	 40066
1.39160e+03	 39134.5
1.40381e+03	 38278
1.41602e+03	 37448.8
1.42822e+03	 36608
1.44043e+03	 35888.8
1.45264e+03	 35084.9
1.46484e+03	 34411.8
1.47705e+03	 33697.7
1.48926e+03	 33030.1
1.50146e+03	 32398.9
1.51367e+03	 31764.8
1.52588e+03	 31166
1.53809e+03	 30597.8
1.55029e+03	 30014.4
1.56250e+03	 29495.7
1.57471e+03	 28951.7
1.58691e+03	 28451.8
1.59912e+03	 27959.2
1.61133e+03	 27476.3
1.62354e+03	 27018.5
1.63574e+03	 26567.8
1.64795e+03	 26128.8
1.66016e+03	 25712.6
1.67236e+03	 25294
1.68457e+03	 24901.5
1.69678e+03	 24510
1.70898e+03	 24134.2
1.72119e+03	 23768.6
1.73340e+03	 23410.7
1.74561e+03	 23064.8
1.75781e+03	 22727.5
1.77002e+03	 22397.3
1.78223e+03	 22079.6
1.79443e+03	 21765.2
1.80664e+03	 21463.5
1.81885e+03	 21166
1.83105e+03	 20877.7
1.84326e+03	 20596.1
1.85547e+03	 20321
1.86768e+03	 20053.2
1.87988e+03	 19791.7
1.89209e+03	 19535.6
1.90430e+03	 19287.1
1.91650e+03	 19042.5
1.92871e+03	 18805.4
1.94092e+03	 18572.3
1.95312e+03	 18345.1
1.96533e+03	 18123
1.97754e+03	 17905.5
1.98975e+03	 17693.2
2.00195e+03	 17485.3
2.01416e+03	 17281.7
2.02637e+03	 17083.1
2.03857e+03	 16887.9
2.05078e+03	 16697.4
2.06299e+03	 16510.9
2.07520e+03	 16327.8
2.08740e+03	 16148.2
2.09961e+03	 15973.5
2.11182e+03	 15802.1
2.12402e+03	 15631.8
2.13623e+03	 15466.8
2.14844e+03	 15307.4
2.16064e+03	 15146.5
2.17285e+03	 14989.3
2.18506e+03	 14839.9
2.19727e+03	 14689.4
2.20947e+03	 14540
2.22168e+03	 14399
2.23389e+03	 14257.1
2.24609e+03	 14114.5
2.25830e+03	 13980.8
2.27051e+03	 13848.3
2.28271e+03	 13713.8
2.29492e+03	 13585.9
2.30713e+03	 13460
2.31934e+03	 13333
2.33154e+03	 13211.7
2.34375e+03	 13092.5
2.35596e+03	 12972.7
2.36816e+03	 12857.1
2.38037e+03	 12743.2
2.39258e+03	 12629.9
2.40479e+03	 12520.1
2.41699e+03	 12411.7
2.42920e+03	 12304.2
2.44141e+03	 12199.6
2.45361e+03	 12096.2
2.46582e+03	 11994.2
2.47803e+03	 11894.5
2.49023e+03	 11795.9
